neuron1,bangladesh,china,taiwan,indonesia,java,india,srilanka,myanmar,malaysia,philippines,pakistan,thailand,vietnam,,,,,,,,,,,,,,,,,,,
neuron2,guangdong,hongkong,karnataka,maharashtra,tamilnadu,westbengal,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron3,australia,japan,kyushu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron4,honshu,korearepublicof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron5,israel,iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron6,spain,greece,portugal,turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron7,austria,belgium,bulgaria,switzerland,czechoslovakiaformer,germany,denmark,france,hungary,italy,netherlands,poland,romania,russianfederation,sweden,,,,,,,,,,,,,,,,,
neuron8,finland,norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron9,canada,usa,california,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron10,ontario,newyork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron11,alabama,arkansas,illinois,kentucky,louisiana,maryland,missouri,mississippi,northcarolina,newjersey,ohio,pennsylvania,southcarolina,tennessee,texas,virginia,,,,,,,,,,,,,,,,
neuron12,laos,peninsularmalaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron13,andhrapradesh,assam,bihar,kerala,orissa,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron14,uttarpradesh,nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron16,cyprus,algeria,egypt,iraq,morocco,syria,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron18,ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron19,czechrepublic,ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron20,britishcolumbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron21,novascotia,quebec,oregon,washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron22,arizona,connecticut,delaware,iowa,indiana,kansas,massachusetts,michigan,oklahoma,wisconsin,westvirginia,,,,,,,,,,,,,,,,,,,,,
neuron23,bruneidarussalam,sulawesi,sumatra,cambodia,sabah,sarawak,solomonislands,singapore,,,,,,,,,,,,,,,,,,,,,,,,
neuron24,australiannorthernterritory,queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron25,delhi,gujarat,madhyapradesh,indianpunjab,rajasthan,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron27,canaryislands,lebanon,libya,malta,tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron28,corsica,sicily,sardinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron29,georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron30,albania,estonia,croatia,lithuania,latvia,slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,
neruon31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron33,newbrunswick,colorado,maine,minnesota,nebraska,newhampshire,newmexico,rhodeisland,utah,,,,,,,,,,,,,,,,,,,,,,,
neuron34,fiji,newcaledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron36,newsouthwales,saudiarabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron37,southaustralia,tasmania,victoria,westernaustralia,newzealand,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron38,chile,jordan,azores,madeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron39,afghanistan,balearicislands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron40,azerbaijan,uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron41,armenia,kazakhstan,moldova,centralrussia,russianfareast,southernrussia,tajikistan,turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,
neuron42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron44,alberta,manitoba,saskatchewan,idaho,montana,northdakota,nevada,southdakota,vermont,wyoming,,,,,,,,,,,,,,,,,,,,,,
neuron45,ethiopia,kenya,madagascar,mauritius,malawi,mozambique,sudan,tanzania,uganda,southafrica,zimbabwe,,,,,,,,,,,,,,,,,,,,,
neuron46,somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron47,yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron48,sainthelena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron50,himachalpradesh,shikoku,koreadpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron51,jammuandkashmir,hokkaido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron52,heilongjiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron53,kyrgyzstan,siberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron54,belarus,englandandwales,luxembourg,macedonia,slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron55,princeedwardisland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron56,angola,cameroon,ghana,nigeria,senegal,zambia,congodemocraticrepublic,,,,,,,,,,,,,,,,,,,,,,,,,
neuron57,benin,congo,sierraleone,togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron58,burkinafaso,burundi,gambia,guinea,mali,niger,rwanda,chad,,,,,,,,,,,,,,,,,,,,,,,,
neuron59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron60,bhutan,sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron61,fujian,guangxi,hainan,hubei,hunan,jiangsu,jiangxi,sichuan,yunnan,zhejiang,,,,,,,,,,,,,,,,,,,,,,
neuron62,hebei,liaoning,shandong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron63,jilin,neimenggu,shanxi,shaanxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron64,xinjiang,mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron65,westernsiberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron66,channelislands,scotland,alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron69,capeverde,seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron70,cookislands,niue,frenchpolynesia,tonga,vanuatu,samoa,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron71,ryukyuarchipelago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron73,anhui,guizhou,henan,haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron74,meghalaya,manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron75,gansu,ningxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron76,qinghai,chandigarh,dadraandnagarhaveli,diu,mizoram,sanmarino,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron77,andorra,northwestterritories,yukonterritory,faroeislands,gibraltar,iceland,liechtenstein,monaco,easternsiberia,northernrussia,,,,,,,,,,,,,,,,,,,,,,
neuron78,florida,hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron80,bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron82,americansamoa,carolineislands,guam,northernmarianaislands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron83,andamanandnicobarislands,kiribati,marshallislands,maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron84,kalimantan,moluccas,nusatenggara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron85,cocosislands,tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron86,arunachalpradesh,goa,lakshadweep,nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron87,westernsahara,tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron88,northernireland,greenland,formerussr,serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron89,argentina,brazil,saopaulo,colombia,costarica,cuba,dominicanrepublic,ecuador,jamaica,mexico,peru,puertorico,trinidadandtobago,venezuela,,,,,,,,,,,,,,,,,,
neuron90,bolivia,riograndedosul,guatemala,guyana,honduras,nicaragua,panama,suriname,elsalvador,uruguay,,,,,,,,,,,,,,,,,,,,,,
neuron91,barbados,minasgerais,riodejaneiro,bahamas,haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron92,antiguaandbarbuda,bahia,parana,santacatarina,belize,dominica,grenada,frenchguiana,guadeloupe,saintkittsandnevis,saintlucia,martinique,montserrat,paraguay,saintvincentandthegrenadines,unitedstatesvirginislands,,,,,,,,,,,,,,,,
neuron93,britishvirginislands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron94,netherlandsantilles,amazonas,ceara,espiritosanto,goias,pernambuco,caymanislands,saotomeandprincipe,,,,,,,,,,,,,,,,,,,,,,,,
neuron95,norfolkisland,tuvalu,zanzibar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron96,botswana,centralafricanrepublic,eritrea,gabon,equatorialguinea,crete,guineabissau,comoros,liberia,lesotho,mauritania,namibia,oman,swaziland,,,,,,,,,,,,,,,,,,
neuron97,unitedarabemirates,bahrain,djibouti,britishindianoceanterritory,kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuron98,maranhao,paraiba,riograndedonorte,easterisland,rodriguezisland,nauru,qatar,ascension,,,,,,,,,,,,,,,,,,,,,,,,
neuron99,anguilla,lordhoweis,aruba,bonaire,acre,alagoas,amapa,fernandodenoronha,rondonia,roraima,sergipe,beijing,shanghai,curaao,galapagosislands,falklandislands,carriacou,guernsey,gaza,boninisland,kermadecislands,papuanewguinea,saintpierreandmiquelon,severoosetinskayarespublika,saba,turksandcaicosislands,krymskayaoblast,formerussrineurope,usminoroutlyingislands,districtofcolumbia,socotra,mayotte
